instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,off_balance_type,notional_amount,draw_down_probability,expiry_date,settlement_date,derivative_type,pay_leg_currency,receive_leg_currency,pay_leg_amount,receive_leg_amount,is_payer,utilized_amount,available_amount,data_source,version
OFF_BAL_00000014,off_balance,99999,5932541.416016398,RUB,2024-12-17,,,CPTY_OFF_BAL_0014,bank,2024-12-31,credit_line,5932541.416016398,0.3914689790098338,2027-11-14,,,,,,,,178184.26379300715,5754357.1522233905,mock_generator,1.0
OFF_BAL_00000015,off_balance,99999,26945899.64736528,RUB,2024-07-22,,0.0683245020343066,CPTY_OFF_BAL_0015,bank,2024-12-31,swap,26945899.64736528,,2026-08-07,2026-08-07,IRS,RUB,RUB,,,False,,,mock_generator,1.0
OFF_BAL_00000016,off_balance,99999,45726934.1508296,RUB,2024-10-03,,,CPTY_OFF_BAL_0016,bank,2024-12-31,guarantee,45726934.1508296,0.3836457710014173,2027-04-26,,,,,,,,20833040.53478274,24893893.616046857,mock_generator,1.0
OFF_BAL_00000017,off_balance,99999,88466047.91777088,RUB,2024-07-22,,,CPTY_OFF_BAL_0017,corporate,2024-12-31,credit_line,88466047.91777088,0.430177537068815,2027-04-22,,,,,,,,141136.94325278004,88324910.97451809,mock_generator,1.0
OFF_BAL_00000018,off_balance,99999,11764.70588235294,USD,2024-09-08,,,CPTY_OFF_BAL_0018,bank,2024-12-31,guarantee,11764.70588235294,0.32345982369934323,2026-05-13,,,,,,,,2758.767052022817,9005.938830330124,mock_generator,1.0
OFF_BAL_00000019,off_balance,99999,109205936.84747985,RUB,2024-12-10,,,CPTY_OFF_BAL_0019,bank,2024-12-31,forward,109205936.84747985,,2026-06-07,2026-06-07,FX_FORWARD,RUB,USD,109205936.84747985,1284775.72761741,,,,mock_generator,1.0
OFF_BAL_00000020,off_balance,99999,875469789.8474834,RUB,2024-07-09,,,CPTY_OFF_BAL_0020,corporate,2024-12-31,credit_line,875469789.8474834,0.20655169438688137,2025-12-02,,,,,,,,65563687.219248325,809906102.6282351,mock_generator,1.0
OFF_BAL_00000021,off_balance,99999,1160906.5712197255,USD,2024-10-04,,,CPTY_OFF_BAL_0021,corporate,2024-12-31,forward,1160906.5712197255,,2026-03-14,2026-03-14,FX_FORWARD,USD,RUB,1160906.5712197255,98677058.55367666,,,,mock_generator,1.0
OFF_BAL_00000022,off_balance,99999,40998285.63716609,RUB,2024-11-12,,0.1392613108187025,CPTY_OFF_BAL_0022,corporate,2024-12-31,swap,40998285.63716609,,2026-02-24,2026-02-24,IRS,RUB,RUB,,,True,,,mock_generator,1.0
OFF_BAL_00000023,off_balance,99999,804051287.9294244,RUB,2024-09-10,,,CPTY_OFF_BAL_0023,bank,2024-12-31,credit_line,804051287.9294244,0.5637656199619253,2027-03-31,,,,,,,,54883864.110881895,749167423.8185425,mock_generator,1.0
OFF_BAL_00000024,off_balance,99999,6008402.896928264,RUB,2024-11-29,,,CPTY_OFF_BAL_0024,corporate,2024-12-31,guarantee,6008402.896928264,0.572204269156394,2027-05-19,,,,,,,,2447775.5317691946,3560627.365159069,mock_generator,1.0
OFF_BAL_00000025,off_balance,99999,246290849.32058355,RUB,2024-12-18,,0.1133573479598768,CPTY_OFF_BAL_0025,corporate,2024-12-31,swap,246290849.32058355,,2026-10-04,2026-10-04,IRS,RUB,RUB,,,False,,,mock_generator,1.0
OFF_BAL_00000026,off_balance,99999,19161039.62495153,RUB,2024-11-19,,,CPTY_OFF_BAL_0026,corporate,2024-12-31,guarantee,19161039.62495153,0.3209660924613186,2027-04-29,,,,,,,,127720.08690459887,19033319.53804693,mock_generator,1.0
OFF_BAL_00000027,off_balance,99999,1589174.2450738444,USD,2024-09-09,,0.08867707547228373,CPTY_OFF_BAL_0027,government,2024-12-31,swap,1589174.2450738444,,2025-07-26,2025-07-26,IRS,USD,USD,,,False,,,mock_generator,1.0
OFF_BAL_00000028,off_balance,99999,12169115.638484912,RUB,2024-11-03,,0.14850005663367521,CPTY_OFF_BAL_0028,corporate,2024-12-31,swap,12169115.638484912,,2026-05-17,2026-05-17,IRS,RUB,RUB,,,True,,,mock_generator,1.0
OFF_BAL_00000029,off_balance,99999,40752450.86357014,RUB,2024-07-11,,,CPTY_OFF_BAL_0029,corporate,2024-12-31,credit_line,40752450.86357014,0.3206767546600907,2027-05-27,,,,,,,,14788929.79182749,25963521.071742646,mock_generator,1.0
OFF_BAL_00000030,off_balance,99999,179175.4311895614,EUR,2024-07-11,,,CPTY_OFF_BAL_0030,corporate,2024-12-31,credit_line,179175.4311895614,0.33609167204173657,2025-04-23,,,,,,,,21714.717304015252,157460.71388554617,mock_generator,1.0
OFF_BAL_00000031,off_balance,99999,11764.70588235294,EUR,2024-12-25,,,CPTY_OFF_BAL_0031,corporate,2024-12-31,guarantee,11764.70588235294,0.590652952325133,2025-07-21,,,,,,,,1623.7847104809564,10140.921171871983,mock_generator,1.0
OFF_BAL_00000032,off_balance,99999,10705339.840583995,RUB,2024-12-14,,,CPTY_OFF_BAL_0032,corporate,2024-12-31,guarantee,10705339.840583995,0.3065007461645436,2027-11-06,,,,,,,,275504.2653441317,10429835.575239863,mock_generator,1.0
OFF_BAL_00000033,off_balance,99999,52410431.13698035,RUB,2024-11-10,,,CPTY_OFF_BAL_0033,corporate,2024-12-31,guarantee,52410431.13698035,0.33057505512050767,2026-04-04,,,,,,,,23212425.902494613,29198005.234485734,mock_generator,1.0
OFF_BAL_00000034,off_balance,99999,119312110.64182712,RUB,2024-09-16,,,CPTY_OFF_BAL_0034,corporate,2024-12-31,guarantee,119312110.64182712,0.353945296164513,2026-12-07,,,,,,,,9383450.918804675,109928659.72302245,mock_generator,1.0
OFF_BAL_00000035,off_balance,99999,347739.48176278616,EUR,2024-08-16,,,CPTY_OFF_BAL_0035,bank,2024-12-31,forward,347739.48176278616,,2026-05-18,2026-05-18,FX_FORWARD,EUR,USD,347739.48176278616,29557855.949836824,,,,mock_generator,1.0
OFF_BAL_00000036,off_balance,99999,121101355.87876822,RUB,2024-12-01,,,CPTY_OFF_BAL_0036,bank,2024-12-31,credit_line,121101355.87876822,0.3291521138672336,2025-07-27,,,,,,,,48655480.710454464,72445875.16831376,mock_generator,1.0
OFF_BAL_00000037,off_balance,99999,10000000.0,RUB,2024-08-03,,0.06635962158625405,CPTY_OFF_BAL_0037,bank,2024-12-31,swap,10000000.0,,2026-07-18,2026-07-18,IRS,RUB,RUB,,,False,,,mock_generator,1.0
OFF_BAL_00000038,off_balance,99999,12400.498991517785,USD,2024-10-10,,,CPTY_OFF_BAL_0038,bank,2024-12-31,credit_line,12400.498991517785,0.5759003510143705,2026-12-17,,,,,,,,1274.140288935131,11126.358702582655,mock_generator,1.0
OFF_BAL_00000039,off_balance,99999,601253.4281166368,EUR,2024-11-23,,,CPTY_OFF_BAL_0039,corporate,2024-12-31,forward,601253.4281166368,,2026-08-22,2026-08-22,FX_FORWARD,EUR,USD,601253.4281166368,51106541.38991413,,,,mock_generator,1.0
OFF_BAL_00000040,off_balance,99999,21590781.359649003,RUB,2024-11-24,,,CPTY_OFF_BAL_0040,bank,2024-12-31,guarantee,21590781.359649003,0.557600751605867,2025-08-20,,,,,,,,678892.1933802427,20911889.16626876,mock_generator,1.0
OFF_BAL_00000041,off_balance,99999,4059649.635521503,USD,2024-09-23,,,CPTY_OFF_BAL_0041,bank,2024-12-31,credit_line,4059649.635521503,0.5094269329192382,2026-02-16,,,,,,,,1361626.2393773885,2698023.3961441144,mock_generator,1.0
OFF_BAL_00000042,off_balance,99999,11764.70588235294,USD,2024-12-09,,,CPTY_OFF_BAL_0042,corporate,2024-12-31,credit_line,11764.70588235294,0.28473139132137903,2027-03-22,,,,,,,,2838.9245962102505,8925.78128614269,mock_generator,1.0
OFF_BAL_00000043,off_balance,99999,11055426.3639881,RUB,2024-07-26,,,CPTY_OFF_BAL_0043,bank,2024-12-31,guarantee,11055426.3639881,0.4093408537334044,2025-05-16,,,,,,,,4741578.398954219,6313847.96503388,mock_generator,1.0
OFF_BAL_00000044,off_balance,99999,88389590.1601172,RUB,2024-07-05,,0.14929865503355022,CPTY_OFF_BAL_0044,bank,2024-12-31,swap,88389590.1601172,,2025-04-08,2025-04-08,IRS,RUB,RUB,,,True,,,mock_generator,1.0
OFF_BAL_00000045,off_balance,99999,6252416.2311005285,RUB,2024-10-06,,,CPTY_OFF_BAL_0045,bank,2024-12-31,credit_line,6252416.2311005285,0.3520001519742827,2027-08-23,,,,,,,,1901202.9942589526,4351213.236841576,mock_generator,1.0
OFF_BAL_00000046,off_balance,99999,1608392.0862162714,USD,2024-07-18,,0.12634907559583713,CPTY_OFF_BAL_0046,corporate,2024-12-31,swap,1608392.0862162714,,2025-06-30,2025-06-30,IRS,USD,USD,,,True,,,mock_generator,1.0
OFF_BAL_00000047,off_balance,99999,1000000.0,RUB,2024-10-02,,,CPTY_OFF_BAL_0047,government,2024-12-31,guarantee,1000000.0,0.28652696812131967,2027-08-23,,,,,,,,29560.224401678992,970439.775598321,mock_generator,1.0
OFF_BAL_00000048,off_balance,99999,2666797.9570522653,RUB,2024-09-24,,,CPTY_OFF_BAL_0048,bank,2024-12-31,credit_line,2666797.9570522653,0.4749018995560978,2026-08-29,,,,,,,,1234430.4499900255,1432367.5070622398,mock_generator,1.0
OFF_BAL_00000049,off_balance,99999,171119249.04760364,RUB,2024-09-20,,,CPTY_OFF_BAL_0049,bank,2024-12-31,forward,171119249.04760364,,2025-10-29,2025-10-29,FX_FORWARD,RUB,EUR,171119249.04760364,1901324.9894178181,,,,mock_generator,1.0
OFF_BAL_00000050,off_balance,99999,237114.34475539502,EUR,2024-07-31,,,CPTY_OFF_BAL_0050,corporate,2024-12-31,credit_line,237114.34475539502,0.22248084695838452,2027-05-16,,,,,,,,73651.52012528479,163462.82463011023,mock_generator,1.0
OFF_BAL_00000051,off_balance,99999,12092869.614355745,RUB,2024-09-05,,,CPTY_OFF_BAL_0051,bank,2024-12-31,credit_line,12092869.614355745,0.4145104172460975,2027-04-28,,,,,,,,4578201.853635818,7514667.760719927,mock_generator,1.0
OFF_BAL_00000052,off_balance,99999,187560.61847690702,USD,2024-09-12,,,CPTY_OFF_BAL_0052,corporate,2024-12-31,guarantee,187560.61847690702,0.2651342797145352,2027-11-28,,,,,,,,33238.19855745113,154322.4199194559,mock_generator,1.0
OFF_BAL_00000053,off_balance,99999,1095744.061629967,USD,2024-11-14,,,CPTY_OFF_BAL_0053,corporate,2024-12-31,forward,1095744.061629967,,2025-07-18,2025-07-18,FX_FORWARD,USD,EUR,1095744.061629967,93138245.2385472,,,,mock_generator,1.0
OFF_BAL_00000054,off_balance,99999,9839273.113068905,RUB,2024-08-16,,,CPTY_OFF_BAL_0054,corporate,2024-12-31,guarantee,9839273.113068905,0.2431681130795044,2025-06-04,,,,,,,,929301.6376980296,8909971.475370875,mock_generator,1.0
OFF_BAL_00000055,off_balance,99999,159958830.93071523,RUB,2024-08-23,,,CPTY_OFF_BAL_0055,bank,2024-12-31,guarantee,159958830.93071523,0.5500229119451043,2025-12-07,,,,,,,,54869067.6212121,105089763.30950314,mock_generator,1.0
OFF_BAL_00000056,off_balance,99999,733724.7033784724,USD,2024-07-27,,,CPTY_OFF_BAL_0056,bank,2024-12-31,forward,733724.7033784724,,2025-09-05,2025-09-05,FX_FORWARD,USD,EUR,733724.7033784724,62366599.78717015,,,,mock_generator,1.0
OFF_BAL_00000057,off_balance,99999,546585.5706359901,USD,2024-08-13,,,CPTY_OFF_BAL_0057,corporate,2024-12-31,guarantee,546585.5706359901,0.3187646875774067,2027-04-13,,,,,,,,131362.6359720174,415222.9346639727,mock_generator,1.0
OFF_BAL_00000058,off_balance,99999,19135.93940305847,USD,2024-12-04,,,CPTY_OFF_BAL_0058,corporate,2024-12-31,guarantee,19135.93940305847,0.5833157936887721,2027-05-09,,,,,,,,9480.439859461272,9655.499543597198,mock_generator,1.0
OFF_BAL_00000059,off_balance,99999,3412395.425823317,RUB,2024-12-06,,,CPTY_OFF_BAL_0059,corporate,2024-12-31,guarantee,3412395.425823317,0.5082475062771109,2026-04-01,,,,,,,,287541.0546935895,3124854.3711297275,mock_generator,1.0
OFF_BAL_00000060,off_balance,99999,3138250.593962163,RUB,2024-09-21,,,CPTY_OFF_BAL_0060,bank,2024-12-31,credit_line,3138250.593962163,0.5982647631447704,2027-11-26,,,,,,,,331958.4520777164,2806292.1418844466,mock_generator,1.0
OFF_BAL_00000061,off_balance,99999,4942778.624121118,USD,2024-09-12,,,CPTY_OFF_BAL_0061,government,2024-12-31,guarantee,4942778.624121118,0.3199485097230065,2025-06-05,,,,,,,,1517046.4434652184,3425732.1806559,mock_generator,1.0
OFF_BAL_00000062,off_balance,99999,1693568.03523326,USD,2024-07-28,,0.12512853784851388,CPTY_OFF_BAL_0062,government,2024-12-31,swap,1693568.03523326,,2025-05-13,2025-05-13,IRS,USD,USD,,,True,,,mock_generator,1.0
OFF_BAL_00000063,off_balance,99999,2096766.4439861532,USD,2024-12-23,,,CPTY_OFF_BAL_0063,corporate,2024-12-31,forward,2096766.4439861532,,2026-02-28,2026-02-28,FX_FORWARD,USD,EUR,2096766.4439861532,178225147.73882303,,,,mock_generator,1.0
OFF_BAL_00000064,off_balance,99999,172087.03776917016,USD,2024-10-12,,,CPTY_OFF_BAL_0064,corporate,2024-12-31,credit_line,172087.03776917016,0.5168596853623411,2027-04-16,,,,,,,,45599.8464065681,126487.19136260205,mock_generator,1.0
OFF_BAL_00000065,off_balance,99999,2352417.8099443065,RUB,2024-12-24,,,CPTY_OFF_BAL_0065,corporate,2024-12-31,credit_line,2352417.8099443065,0.3897931989145118,2027-01-07,,,,,,,,1038727.5460434329,1313690.2639008737,mock_generator,1.0
OFF_BAL_00000066,off_balance,99999,293733.27193517936,EUR,2024-11-09,,,CPTY_OFF_BAL_0066,corporate,2024-12-31,guarantee,293733.27193517936,0.36289250172465143,2025-09-26,,,,,,,,96550.16812305928,197183.1038121201,mock_generator,1.0
OFF_BAL_00000067,off_balance,99999,21659470.076099746,RUB,2024-07-29,,,CPTY_OFF_BAL_0067,bank,2024-12-31,forward,21659470.076099746,,2025-05-23,2025-05-23,FX_FORWARD,RUB,EUR,21659470.076099746,240660.77862333052,,,,mock_generator,1.0
OFF_BAL_00000068,off_balance,99999,1887337.4475339781,RUB,2024-12-29,,,CPTY_OFF_BAL_0068,bank,2024-12-31,credit_line,1887337.4475339781,0.413861404800288,2026-10-22,,,,,,,,481111.9523984755,1406225.4951355027,mock_generator,1.0
OFF_BAL_00000069,off_balance,99999,223307593.2492903,RUB,2024-07-16,,0.06047634237665777,CPTY_OFF_BAL_0069,bank,2024-12-31,swap,223307593.2492903,,2026-09-18,2026-09-18,IRS,RUB,RUB,,,False,,,mock_generator,1.0
OFF_BAL_00000070,off_balance,99999,8445063.517692233,RUB,2024-10-03,,,CPTY_OFF_BAL_0070,bank,2024-12-31,credit_line,8445063.517692233,0.20157478944760068,2026-01-25,,,,,,,,1530840.3934623378,6914223.124229895,mock_generator,1.0
OFF_BAL_00000071,off_balance,99999,279489307.4542444,RUB,2024-12-27,,,CPTY_OFF_BAL_0071,corporate,2024-12-31,guarantee,279489307.4542444,0.577451364592831,2025-12-18,,,,,,,,7772579.312720379,271716728.141524,mock_generator,1.0
OFF_BAL_00000072,off_balance,99999,4671947.556411402,EUR,2024-11-11,,,CPTY_OFF_BAL_0072,bank,2024-12-31,credit_line,4671947.556411402,0.22798212172482357,2027-07-10,,,,,,,,1651169.5706774034,3020777.985733999,mock_generator,1.0
OFF_BAL_00000073,off_balance,99999,23846866.97443798,RUB,2024-09-18,,,CPTY_OFF_BAL_0073,bank,2024-12-31,credit_line,23846866.97443798,0.35138227148571277,2026-07-02,,,,,,,,5566538.210653201,18280328.76378478,mock_generator,1.0
OFF_BAL_00000074,off_balance,99999,23669969.947210997,RUB,2024-10-17,,,CPTY_OFF_BAL_0074,bank,2024-12-31,credit_line,23669969.947210997,0.34027927879029557,2025-05-19,,,,,,,,8721856.789377823,14948113.157833174,mock_generator,1.0
OFF_BAL_00000075,off_balance,99999,121794321.35886687,RUB,2024-11-04,,,CPTY_OFF_BAL_0075,corporate,2024-12-31,guarantee,121794321.35886687,0.2329914290464512,2025-12-25,,,,,,,,7174987.558154313,114619333.80071256,mock_generator,1.0
OFF_BAL_00000076,off_balance,99999,4564880.686690193,RUB,2024-11-13,,,CPTY_OFF_BAL_0076,bank,2024-12-31,guarantee,4564880.686690193,0.39999682440090056,2027-12-04,,,,,,,,1635224.8481089668,2929655.838581226,mock_generator,1.0
OFF_BAL_00000077,off_balance,99999,7848249.206694983,RUB,2024-08-22,,,CPTY_OFF_BAL_0077,corporate,2024-12-31,guarantee,7848249.206694983,0.595096597817653,2027-12-25,,,,,,,,576887.3705053658,7271361.836189617,mock_generator,1.0
OFF_BAL_00000078,off_balance,99999,1000000.0,RUB,2024-11-18,,,CPTY_OFF_BAL_0078,corporate,2024-12-31,guarantee,1000000.0,0.44492215125307266,2026-04-19,,,,,,,,26387.935598049473,973612.0644019506,mock_generator,1.0
OFF_BAL_00000079,off_balance,99999,5177896.676242946,USD,2024-08-02,,,CPTY_OFF_BAL_0079,government,2024-12-31,credit_line,5177896.676242946,0.38484791885272246,2025-12-04,,,,,,,,1645726.7979512515,3532169.8782916944,mock_generator,1.0
OFF_BAL_00000080,off_balance,99999,930817923.5018102,RUB,2024-10-02,,,CPTY_OFF_BAL_0080,bank,2024-12-31,forward,930817923.5018102,,2026-11-03,2026-11-03,FX_FORWARD,RUB,USD,930817923.5018102,10950799.100021297,,,,mock_generator,1.0
OFF_BAL_00000081,off_balance,99999,8463069.372411797,RUB,2024-07-28,,,CPTY_OFF_BAL_0081,corporate,2024-12-31,credit_line,8463069.372411797,0.39740528439502343,2026-01-14,,,,,,,,2566087.5141106327,5896981.858301165,mock_generator,1.0
OFF_BAL_00000082,off_balance,99999,94928257.26279446,RUB,2024-09-20,,,CPTY_OFF_BAL_0082,bank,2024-12-31,forward,94928257.26279446,,2025-09-17,2025-09-17,FX_FORWARD,RUB,USD,94928257.26279446,1116803.0266211114,,,,mock_generator,1.0
OFF_BAL_00000083,off_balance,99999,19626087.105173957,RUB,2024-11-23,,,CPTY_OFF_BAL_0083,corporate,2024-12-31,credit_line,19626087.105173957,0.4205134718996332,2027-03-04,,,,,,,,4003690.323809213,15622396.781364743,mock_generator,1.0
OFF_BAL_00000084,off_balance,99999,345559.0232481299,EUR,2024-08-30,,,CPTY_OFF_BAL_0084,bank,2024-12-31,guarantee,345559.0232481299,0.47755111796185284,2027-01-06,,,,,,,,11326.716937649891,334232.30631048,mock_generator,1.0
OFF_BAL_00000085,off_balance,99999,11764.70588235294,EUR,2024-07-10,,,CPTY_OFF_BAL_0085,corporate,2024-12-31,guarantee,11764.70588235294,0.47349338967533156,2027-08-05,,,,,,,,5710.304629600091,6054.401252752849,mock_generator,1.0
OFF_BAL_00000086,off_balance,99999,1852308.1483405565,USD,2024-12-06,,,CPTY_OFF_BAL_0086,bank,2024-12-31,guarantee,1852308.1483405565,0.450228856506695,2025-05-01,,,,,,,,476892.9439324451,1375415.2044081115,mock_generator,1.0
OFF_BAL_00000087,off_balance,99999,61617.88513390718,EUR,2024-12-26,,,CPTY_OFF_BAL_0087,government,2024-12-31,guarantee,61617.88513390718,0.3507291208897891,2025-12-26,,,,,,,,25967.62963189536,35650.255502011816,mock_generator,1.0
OFF_BAL_00000088,off_balance,99999,1218241456.8666983,RUB,2024-09-27,,,CPTY_OFF_BAL_0088,bank,2024-12-31,forward,1218241456.8666983,,2025-11-10,2025-11-10,FX_FORWARD,RUB,USD,1218241456.8666983,14332252.433725862,,,,mock_generator,1.0
OFF_BAL_00000089,off_balance,99999,7039278.0212502275,RUB,2024-12-17,,,CPTY_OFF_BAL_0089,corporate,2024-12-31,guarantee,7039278.0212502275,0.2814497531733472,2027-07-08,,,,,,,,1573970.4645620664,5465307.556688162,mock_generator,1.0
OFF_BAL_00000090,off_balance,99999,3954466.892416696,USD,2024-07-10,,,CPTY_OFF_BAL_0090,bank,2024-12-31,credit_line,3954466.892416696,0.2521571206118224,2025-11-22,,,,,,,,596177.5577345314,3358289.3346821647,mock_generator,1.0
OFF_BAL_00000091,off_balance,99999,70523.60508631705,EUR,2024-09-09,,,CPTY_OFF_BAL_0091,bank,2024-12-31,credit_line,70523.60508631705,0.5633564300933429,2025-08-01,,,,,,,,28194.83897249279,42328.76611382426,mock_generator,1.0
OFF_BAL_00000092,off_balance,99999,9154041.511161678,RUB,2024-07-11,,,CPTY_OFF_BAL_0092,bank,2024-12-31,credit_line,9154041.511161678,0.31238101708950716,2026-03-05,,,,,,,,4448758.637228331,4705282.873933347,mock_generator,1.0
OFF_BAL_00000093,off_balance,99999,36948811.19272384,RUB,2024-10-05,,,CPTY_OFF_BAL_0093,bank,2024-12-31,credit_line,36948811.19272384,0.3540988911961135,2026-09-04,,,,,,,,14499023.984568642,22449787.2081552,mock_generator,1.0
OFF_BAL_00000094,off_balance,99999,34912911.18254429,RUB,2024-08-14,,,CPTY_OFF_BAL_0094,corporate,2024-12-31,guarantee,34912911.18254429,0.5903933068983822,2026-10-25,,,,,,,,2064226.190969422,32848684.99157487,mock_generator,1.0
OFF_BAL_00000095,off_balance,99999,15702362.31754853,RUB,2024-11-21,,,CPTY_OFF_BAL_0095,corporate,2024-12-31,forward,15702362.31754853,,2026-09-11,2026-09-11,FX_FORWARD,RUB,EUR,15702362.31754853,174470.6924172059,,,,mock_generator,1.0
OFF_BAL_00000096,off_balance,99999,35476798.07152089,RUB,2024-09-16,,,CPTY_OFF_BAL_0096,bank,2024-12-31,guarantee,35476798.07152089,0.5752219551735785,2025-07-11,,,,,,,,16192786.269859588,19284011.801661298,mock_generator,1.0
OFF_BAL_00000097,off_balance,99999,2147524.478728718,USD,2024-09-17,,,CPTY_OFF_BAL_0097,corporate,2024-12-31,credit_line,2147524.478728718,0.31475325164722984,2025-11-03,,,,,,,,1024202.4685232459,1123322.0102054724,mock_generator,1.0
OFF_BAL_00000098,off_balance,99999,54039.47591265063,EUR,2024-08-04,,,CPTY_OFF_BAL_0098,corporate,2024-12-31,guarantee,54039.47591265063,0.4174138054034854,2027-12-03,,,,,,,,9924.838443469043,44114.63746918159,mock_generator,1.0
OFF_BAL_00000099,off_balance,99999,1000000.0,RUB,2024-12-11,,,CPTY_OFF_BAL_0099,bank,2024-12-31,guarantee,1000000.0,0.4116634268454531,2026-05-13,,,,,,,,183383.86787205725,816616.1321279428,mock_generator,1.0
OFF_BAL_00000100,off_balance,99999,2606353.148970424,RUB,2024-08-17,,,CPTY_OFF_BAL_0100,bank,2024-12-31,guarantee,2606353.148970424,0.5419485345777824,2027-03-21,,,,,,,,64374.30814369409,2541978.8408267302,mock_generator,1.0
OFF_BAL_00000101,off_balance,99999,1000000.0,RUB,2024-11-12,,,CPTY_OFF_BAL_0101,bank,2024-12-31,guarantee,1000000.0,0.5985029286617838,2026-10-24,,,,,,,,295994.79917615297,704005.200823847,mock_generator,1.0
OFF_BAL_00000102,off_balance,99999,266049510.093724,RUB,2024-08-16,,,CPTY_OFF_BAL_0102,bank,2024-12-31,forward,266049510.093724,,2026-08-11,2026-08-11,FX_FORWARD,RUB,USD,266049510.093724,3129994.236396753,,,,mock_generator,1.0
OFF_BAL_00000103,off_balance,99999,64874047.52891877,RUB,2024-12-05,,,CPTY_OFF_BAL_0103,bank,2024-12-31,guarantee,64874047.52891877,0.2796824536827652,2025-11-16,,,,,,,,16084996.253577527,48789051.27534124,mock_generator,1.0
