instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,liability_category,is_monetary,priority_level,data_source,version
OTHER_LIAB_00000022,other_liability,60401,260576.15731399955,RUB,2024-12-23,2025-01-25,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000023,other_liability,60401,747682.4709728931,RUB,2024-10-23,2026-08-07,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000024,other_liability,60303,164451.21133636805,RUB,2024-12-29,2025-01-14,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000025,other_liability,60302,1962923.7535270425,RUB,2024-10-12,2026-08-26,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000026,other_liability,60401,50902101.010750815,RUB,2024-11-24,2025-05-29,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000027,other_liability,60303,1505882.5496795522,RUB,2024-12-31,2025-02-04,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000028,other_liability,60401,29987629.97099314,RUB,2024-12-30,2025-03-12,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000029,other_liability,60303,1733790.7142522458,RUB,2024-12-19,2025-03-05,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000030,other_liability,60302,71643488.29090494,RUB,2024-12-21,2025-02-26,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000031,other_liability,60401,8810658.970885487,RUB,2024-11-08,2025-07-01,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000032,other_liability,60401,1917689.479976013,RUB,2024-12-31,2025-01-07,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000033,other_liability,60401,2356474.1847427674,RUB,2024-12-28,2025-02-26,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000034,other_liability,60302,456340.284454231,RUB,2024-12-30,2025-01-09,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000035,other_liability,60401,820993.2568172533,RUB,2024-11-07,2025-06-24,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000036,other_liability,60302,842137.2731695316,RUB,2024-07-10,2026-02-12,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000037,other_liability,60303,3144095.584872298,RUB,2024-12-21,2025-12-11,,,,2024-12-31,reserves,False,subordinated,mock_generator,1.0
OTHER_LIAB_00000038,other_liability,60302,2458467.747845644,RUB,2024-12-31,2025-01-07,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000039,other_liability,60303,10131325.596825628,RUB,2024-09-13,2025-12-27,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000040,other_liability,60303,1244786.0409986284,RUB,2024-12-11,2025-11-17,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000041,other_liability,60302,3565298.120448689,RUB,2024-08-19,2026-07-11,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000042,other_liability,60302,7012267.866877618,RUB,2024-12-31,2025-01-03,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000043,other_liability,60302,363369.3901646529,RUB,2024-12-23,2025-03-06,,,,2024-12-31,payables,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000044,other_liability,60401,17436108.170132037,RUB,2024-12-06,2026-01-27,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000045,other_liability,60401,367089.4375892381,USD,2024-12-26,2025-02-05,,,,2024-12-31,payables,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000046,other_liability,60401,7139478.912097082,RUB,2024-11-18,2026-10-30,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000047,other_liability,60302,2844977.769081022,RUB,2024-12-26,2025-01-20,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000048,other_liability,60302,600962.5512538777,RUB,2024-12-27,2025-01-25,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000049,other_liability,60302,10920515.448483452,RUB,2024-12-26,2025-03-10,,,,2024-12-31,payables,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000050,other_liability,60401,3651365.635698485,RUB,2024-12-28,2025-01-23,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000051,other_liability,60302,407611.60456516984,RUB,2024-12-24,2025-01-31,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000052,other_liability,60401,450475.9931633493,RUB,2024-12-29,2025-01-19,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000053,other_liability,60303,834171.1467622927,RUB,2024-12-31,2025-01-03,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000054,other_liability,60303,656600.6238545551,RUB,2024-12-31,2025-01-02,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000055,other_liability,60303,263344.0531549932,RUB,2024-12-29,2025-01-10,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000056,other_liability,60303,692540.4788413115,RUB,2024-11-06,2025-12-16,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000057,other_liability,60401,1605904.7352536716,RUB,2024-10-21,2025-11-11,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000058,other_liability,60401,714420.0108036353,RUB,2024-10-15,2025-11-05,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000059,other_liability,60302,1505089.052956618,RUB,2024-12-18,2025-02-17,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000060,other_liability,60401,17114751.18609629,RUB,2024-12-30,2026-02-19,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000061,other_liability,60303,103094765.18641296,RUB,2024-10-10,2025-11-07,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000062,other_liability,60303,16638482.69528289,RUB,2024-12-30,2025-03-24,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000063,other_liability,60303,117100.09586740649,USD,2024-12-27,2025-01-18,,,,2024-12-31,payables,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000064,other_liability,60302,53456873.327671334,RUB,2024-12-21,2025-01-27,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000065,other_liability,60302,560582.6997093835,RUB,2024-12-27,2025-01-27,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000066,other_liability,60302,14835175.95035713,RUB,2024-12-27,2025-01-17,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000067,other_liability,60401,2092854.373598408,RUB,2024-08-13,2026-03-29,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000068,other_liability,60302,38564.779523897945,RUB,2024-12-09,2025-03-07,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000069,other_liability,60302,9543983.462509464,RUB,2024-08-04,2026-01-19,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000070,other_liability,60303,209467.7627568026,RUB,2024-12-31,2025-02-04,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000071,other_liability,60303,2124775.95450543,RUB,2024-08-27,2025-11-23,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000072,other_liability,60401,907999.0723912949,RUB,2024-12-31,2025-02-19,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000073,other_liability,60302,13847632.965391556,RUB,2024-12-29,2025-01-13,,,,2024-12-31,payroll,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000074,other_liability,60302,919858.8755164072,RUB,2024-12-31,2025-01-23,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000075,other_liability,60401,7853611.143149157,RUB,2024-12-29,2025-02-22,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000076,other_liability,60401,373796.14343013143,RUB,2024-12-31,2025-02-06,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000077,other_liability,60303,1520302.9182054175,RUB,2024-12-29,2025-02-16,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000078,other_liability,60303,5785.044706327535,USD,2024-12-31,2025-01-02,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000079,other_liability,60302,14122642.216779204,RUB,2024-12-27,2025-02-02,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000080,other_liability,60302,1559050.1237691566,RUB,2024-12-25,2025-01-15,,,,2024-12-31,payroll,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000081,other_liability,60401,1201231.2026353227,RUB,2024-12-09,2025-03-01,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000082,other_liability,60401,38575.26731791466,RUB,2024-12-18,2025-02-10,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000083,other_liability,60303,4334077.068625232,RUB,2024-11-05,2025-06-07,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000084,other_liability,60303,975409.091667179,RUB,2024-12-29,2025-03-17,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000085,other_liability,60303,30705579.259997144,RUB,2024-11-03,2026-05-12,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000086,other_liability,60401,4790792.349704416,RUB,2024-12-29,2026-09-29,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000087,other_liability,60303,201250.80167211412,RUB,2024-12-27,2025-01-21,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000088,other_liability,60401,500000.0,RUB,2024-10-03,2025-09-05,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000089,other_liability,60401,9527013.139628721,RUB,2024-07-31,2026-01-15,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000090,other_liability,60401,168705694.10279468,RUB,2024-12-22,2025-01-25,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000091,other_liability,60401,5998511.012333706,RUB,2024-12-31,2025-01-04,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000092,other_liability,60401,24080.784119676056,RUB,2024-12-29,2025-01-14,,,,2024-12-31,payables,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000093,other_liability,60302,6891144.137238398,RUB,2024-10-11,2025-08-23,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000094,other_liability,60401,150050.57601191624,RUB,2024-12-26,2025-01-16,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000095,other_liability,60401,5920478.841358346,RUB,2024-12-27,2025-01-20,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000096,other_liability,60302,704759.5131839433,RUB,2024-12-07,2025-02-27,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000097,other_liability,60303,175770892.20387107,RUB,2024-12-28,2025-01-22,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000098,other_liability,60302,3606282.0795202223,RUB,2024-12-24,2025-03-11,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000099,other_liability,60303,2915224.2695918493,RUB,2024-12-31,2025-01-23,,,,2024-12-31,payables,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000100,other_liability,60303,83276.94633042796,RUB,2024-10-22,2026-02-17,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000101,other_liability,60302,1765040.971591834,RUB,2024-12-20,2025-03-08,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000102,other_liability,60302,3232888.7933439254,RUB,2024-12-17,2025-02-05,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000103,other_liability,60303,500000.0,RUB,2024-10-10,2026-07-01,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000104,other_liability,60303,372651.81515694305,RUB,2024-12-24,2025-01-20,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000105,other_liability,60302,6821934.771919811,RUB,2024-12-31,2025-02-03,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000106,other_liability,60303,4443789.060646687,RUB,2024-10-22,2025-10-10,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000107,other_liability,60401,621918.3548465794,RUB,2024-12-20,2025-02-16,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000108,other_liability,60401,7142339.253980922,RUB,2024-12-31,2025-02-20,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000109,other_liability,60302,2314143.657702778,RUB,2024-07-17,2026-02-22,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000110,other_liability,60302,1984344.5161615096,RUB,2024-12-31,2025-01-08,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000111,other_liability,60302,66867056.327070765,RUB,2024-12-01,2025-08-30,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000112,other_liability,60401,54190.9385190183,RUB,2024-12-31,2025-01-03,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000113,other_liability,60401,30336742.367648985,RUB,2024-11-07,2025-06-07,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000114,other_liability,60401,422676.97573990753,RUB,2024-12-25,2025-02-18,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000115,other_liability,60302,128679.60129980753,RUB,2024-12-12,2025-03-06,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000116,other_liability,60303,337311.8673270023,RUB,2024-12-19,2025-02-11,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000117,other_liability,60401,7604990.56651491,RUB,2024-11-29,2026-02-26,,,,2024-12-31,reserves,False,subordinated,mock_generator,1.0
OTHER_LIAB_00000118,other_liability,60401,3303283.3608487328,RUB,2024-12-08,2025-08-13,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000119,other_liability,60401,519526.4816201693,RUB,2024-12-22,2025-02-20,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000120,other_liability,60401,2869939.396293816,RUB,2024-12-23,2025-01-21,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000121,other_liability,60302,869926.1151206078,RUB,2024-12-25,2025-01-15,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000122,other_liability,60303,7003054.4045993555,RUB,2024-12-29,2025-01-24,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000123,other_liability,60401,2027486.8521862107,RUB,2024-12-26,2025-01-17,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000124,other_liability,60401,81797.44258605114,RUB,2024-12-25,2025-03-12,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000125,other_liability,60303,3221027.9070780235,RUB,2024-12-19,2025-02-26,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000126,other_liability,60303,196530.0414058106,RUB,2024-12-31,2025-01-22,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000127,other_liability,60303,37349561.965437755,RUB,2024-11-08,2025-08-20,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000128,other_liability,60303,305167600.84990793,RUB,2024-09-04,2025-10-12,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000129,other_liability,60302,5505486.788735759,RUB,2024-12-27,2025-01-20,,,,2024-12-31,payroll,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000130,other_liability,60303,500000.0,RUB,2024-09-01,2026-01-27,,,,2024-12-31,reserves,False,subordinated,mock_generator,1.0
OTHER_LIAB_00000131,other_liability,60303,1205008.2069608,RUB,2024-12-27,2025-02-27,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000132,other_liability,60303,1451716.3449990365,RUB,2024-09-25,2026-04-01,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000133,other_liability,60302,3407498.216849547,RUB,2024-10-02,2026-07-14,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000134,other_liability,60302,17936697.09641949,RUB,2024-12-29,2025-01-22,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000135,other_liability,60303,274683.85460121266,RUB,2024-10-13,2026-08-18,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000136,other_liability,60401,73473.80757972729,RUB,2024-12-21,2025-02-12,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000137,other_liability,60401,598516.3846820612,RUB,2024-12-27,2025-01-25,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000138,other_liability,60401,7570.601228599092,USD,2024-12-30,2025-01-26,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000139,other_liability,60302,3783254.187573838,RUB,2024-12-21,2025-01-29,,,,2024-12-31,payables,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000140,other_liability,60401,22175663.042458978,RUB,2024-08-31,2026-01-24,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000141,other_liability,60303,6036430.186781236,RUB,2024-12-29,2025-01-13,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000142,other_liability,60401,87979.36327955626,USD,2024-12-25,2025-03-10,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000143,other_liability,60303,12780019.212723147,RUB,2024-11-05,2026-10-01,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000144,other_liability,60401,2249792.4604607658,RUB,2024-09-30,2026-08-13,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000145,other_liability,60302,9469.33374580908,USD,2024-12-29,2025-01-25,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000146,other_liability,60303,9937932.959100125,RUB,2024-12-31,2025-01-02,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000147,other_liability,60303,1893387.630188969,RUB,2024-12-27,2025-01-19,,,,2024-12-31,payroll,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000148,other_liability,60401,5390154.151869606,RUB,2024-12-26,2025-01-23,,,,2024-12-31,payables,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000149,other_liability,60401,159784.7273014431,RUB,2024-12-31,2025-01-01,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000150,other_liability,60401,4692189.885085939,RUB,2024-12-27,2025-01-28,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000151,other_liability,60302,35678259.922357105,RUB,2024-12-21,2025-03-09,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000152,other_liability,60401,36951297.648344,RUB,2024-12-29,2025-03-06,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000153,other_liability,60401,232587991.6810099,RUB,2024-12-28,2025-01-24,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000154,other_liability,60401,6916919.477045335,RUB,2024-12-11,2026-04-01,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000155,other_liability,60401,569203.194034353,RUB,2024-11-26,2025-07-01,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000156,other_liability,60303,630246.6010956112,RUB,2024-12-01,2025-07-03,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000157,other_liability,60302,18024569.462047633,RUB,2024-12-29,2025-02-02,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000158,other_liability,60401,24727665.59986591,RUB,2024-09-29,2025-12-12,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000159,other_liability,60302,11003407.75886358,RUB,2024-12-20,2025-03-04,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000160,other_liability,60401,19507432.092915215,RUB,2024-11-27,2025-06-11,,,,2024-12-31,reserves,False,subordinated,mock_generator,1.0
OTHER_LIAB_00000161,other_liability,60302,470758.66094605933,RUB,2024-12-30,2025-01-18,,,,2024-12-31,payroll,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000162,other_liability,60303,69591884.66310057,RUB,2024-09-12,2026-02-17,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000163,other_liability,60302,2555260.017949904,RUB,2024-12-31,2025-01-03,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000164,other_liability,60302,1770534.4631744337,RUB,2024-12-31,2025-01-03,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000165,other_liability,60303,500000.0,RUB,2024-11-24,2025-10-29,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000166,other_liability,60303,444385.1999276179,RUB,2024-12-22,2025-01-28,,,,2024-12-31,payables,True,subordinated,mock_generator,1.0
OTHER_LIAB_00000167,other_liability,60401,3593.362096187661,USD,2024-12-29,2025-01-23,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000168,other_liability,60303,3132844.399087095,RUB,2024-12-25,2025-02-27,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000169,other_liability,60303,2424973.6323620663,RUB,2024-12-06,2026-03-01,,,,2024-12-31,reserves,False,subordinated,mock_generator,1.0
OTHER_LIAB_00000170,other_liability,60302,1784720.2166479498,RUB,2024-12-11,2026-02-14,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000171,other_liability,60303,1646025.7756758598,RUB,2024-12-29,2025-01-10,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
OTHER_LIAB_00000172,other_liability,60401,538756.5989296085,RUB,2024-12-23,2025-03-06,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000173,other_liability,60303,10378625.981784146,RUB,2024-10-13,2026-06-06,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000174,other_liability,60302,234444.66339499166,USD,2024-11-17,2026-06-27,,,,2024-12-31,other,True,senior,mock_generator,1.0
OTHER_LIAB_00000175,other_liability,60302,4397996.585172802,RUB,2024-08-10,2026-06-20,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000176,other_liability,60303,247979331.7394513,RUB,2024-12-29,2025-01-15,,,,2024-12-31,payables,True,senior,mock_generator,1.0
OTHER_LIAB_00000177,other_liability,60303,4019889.118352244,RUB,2024-09-19,2026-03-10,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000178,other_liability,60303,8057791.9871034995,RUB,2024-08-10,2026-07-13,,,,2024-12-31,reserves,False,senior,mock_generator,1.0
OTHER_LIAB_00000179,other_liability,60302,50000.0,RUB,2024-12-29,2025-01-08,,,,2024-12-31,payroll,True,senior,mock_generator,1.0
