instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,account_type,correspondent_bank,is_required_reserve,data_source,version
CORR_ACC_00000013,correspondent_account,30102,680699.1595260837,EUR,2019-08-17,,0.0009383755384545714,BANK_013,bank,2024-12-31,nostro,Bank_013,False,mock_generator,1.0
CORR_ACC_00000014,correspondent_account,30114,42558050.48114069,RUB,2017-10-31,,0.0004512594625046806,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000015,correspondent_account,30114,740841.161475558,EUR,2020-10-07,,0.00026003469671779134,BANK_015,bank,2024-12-31,nostro,Bank_015,False,mock_generator,1.0
CORR_ACC_00000016,correspondent_account,30114,11406.590471373258,CNY,2019-03-11,,0.0008552604223122657,BANK_016,bank,2024-12-31,nostro,Bank_016,False,mock_generator,1.0
CORR_ACC_00000017,correspondent_account,30114,35726595.75146532,RUB,2023-12-08,,0.0008361359662873558,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000018,correspondent_account,30110,6253.33363343782,USD,2018-10-04,,0.0009877336985928719,BANK_018,bank,2024-12-31,nostro,Bank_018,False,mock_generator,1.0
CORR_ACC_00000019,correspondent_account,30114,-2303.8399501443623,USD,2018-03-31,,0.0004112445698024223,BANK_019,bank,2024-12-31,loro,Bank_019,False,mock_generator,1.0
CORR_ACC_00000020,correspondent_account,30102,-316891325.2898316,RUB,2024-06-09,,0.00023224131663519666,BANK_020,bank,2024-12-31,loro,Bank_020,False,mock_generator,1.0
CORR_ACC_00000021,correspondent_account,30114,50750038.13620068,RUB,2015-02-18,,0.0009668319651938062,BANK_021,bank,2024-12-31,nostro,Bank_021,False,mock_generator,1.0
CORR_ACC_00000022,correspondent_account,30110,239472529.39984757,RUB,2016-11-07,,0.000636792400229247,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000023,correspondent_account,30114,-89253403.96404064,RUB,2023-09-02,,0.0006764598568865212,BANK_023,bank,2024-12-31,loro,Bank_023,False,mock_generator,1.0
CORR_ACC_00000024,correspondent_account,30102,149249690.2989996,RUB,2015-05-17,,0.00046802515748007033,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000025,correspondent_account,30102,4912330.364872584,RUB,2019-09-18,,0.0009495220783842496,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000026,correspondent_account,30110,-41098.413534523934,USD,2020-03-05,,0.000587270692263991,BANK_026,bank,2024-12-31,loro,Bank_026,False,mock_generator,1.0
CORR_ACC_00000027,correspondent_account,30114,-22667.97902388657,USD,2020-03-16,,0.00017712633893975826,BANK_027,bank,2024-12-31,loro,Bank_027,False,mock_generator,1.0
CORR_ACC_00000028,correspondent_account,30102,163357.01317606063,EUR,2015-02-23,,0.0002787693200129207,BANK_028,bank,2024-12-31,nostro,Bank_028,False,mock_generator,1.0
CORR_ACC_00000029,correspondent_account,30109,-588.2352941176471,EUR,2015-05-03,,0.000948862341731374,BANK_029,bank,2024-12-31,loro,Bank_029,False,mock_generator,1.0
CORR_ACC_00000030,correspondent_account,30102,23203.303163204702,CNY,2016-07-29,,0.0007884882442051571,BANK_030,bank,2024-12-31,nostro,Bank_030,False,mock_generator,1.0
CORR_ACC_00000031,correspondent_account,30114,192276.72285676855,EUR,2017-12-02,,3.9195793884524546e-05,BANK_031,bank,2024-12-31,nostro,Bank_031,False,mock_generator,1.0
CORR_ACC_00000032,correspondent_account,30102,251069.9741061406,USD,2020-12-04,,0.0008348357014151992,BANK_032,bank,2024-12-31,nostro,Bank_032,False,mock_generator,1.0
CORR_ACC_00000033,correspondent_account,30102,-1803146.6621610313,RUB,2018-02-06,,0.0003647336273784,BANK_033,bank,2024-12-31,loro,Bank_033,False,mock_generator,1.0
CORR_ACC_00000034,correspondent_account,30114,39494697.04194426,RUB,2015-02-02,,0.00015661142890468393,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000035,correspondent_account,30109,6498214.172380712,RUB,2018-06-28,,0.0005652958363546839,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000036,correspondent_account,30114,19796.82043189307,USD,2021-11-08,,0.0004658756136235646,BANK_036,bank,2024-12-31,nostro,Bank_036,False,mock_generator,1.0
CORR_ACC_00000037,correspondent_account,30102,8677439.294598041,RUB,2022-02-04,,0.0004895977177257533,BANK_037,bank,2024-12-31,nostro,Bank_037,False,mock_generator,1.0
CORR_ACC_00000038,correspondent_account,30102,483197.8608590224,CNY,2023-11-28,,0.0008886317861035426,BANK_038,bank,2024-12-31,nostro,Bank_038,False,mock_generator,1.0
CORR_ACC_00000039,correspondent_account,30109,11141471.48884344,RUB,2023-02-08,,0.0007659063209833558,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000040,correspondent_account,30114,-1341428.4321460943,EUR,2024-01-11,,0.0007485350924541839,BANK_040,bank,2024-12-31,loro,Bank_040,False,mock_generator,1.0
CORR_ACC_00000041,correspondent_account,30102,-12565.48456117735,USD,2021-09-15,,0.0006530779981711053,BANK_041,bank,2024-12-31,loro,Bank_041,False,mock_generator,1.0
CORR_ACC_00000042,correspondent_account,30110,7609261.279622693,RUB,2015-11-08,,9.080457196143699e-06,BANK_042,bank,2024-12-31,nostro,Bank_042,False,mock_generator,1.0
CORR_ACC_00000043,correspondent_account,30110,67968.22721574719,USD,2020-07-01,,0.00011174449763568274,BANK_043,bank,2024-12-31,nostro,Bank_043,False,mock_generator,1.0
CORR_ACC_00000044,correspondent_account,30102,198498657.5778744,RUB,2019-03-20,,0.0003768044564072485,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000045,correspondent_account,30114,5852195.450910016,RUB,2021-11-05,,0.0004982044851965558,BANK_045,bank,2024-12-31,nostro,Bank_045,False,mock_generator,1.0
CORR_ACC_00000046,correspondent_account,30110,204157.3532852658,USD,2021-04-16,,0.0007374016607932624,BANK_046,bank,2024-12-31,nostro,Bank_046,False,mock_generator,1.0
CORR_ACC_00000047,correspondent_account,30109,-1599982.0694341238,USD,2023-03-29,,0.0009752841095097423,BANK_047,bank,2024-12-31,loro,Bank_047,False,mock_generator,1.0
CORR_ACC_00000048,correspondent_account,30114,73879401.95546561,RUB,2019-02-22,,0.00043206097707659553,BANK_048,bank,2024-12-31,nostro,Bank_048,False,mock_generator,1.0
CORR_ACC_00000049,correspondent_account,30110,5490951.434146605,RUB,2017-08-02,,0.0006734914395173588,BANK_049,bank,2024-12-31,nostro,Bank_049,False,mock_generator,1.0
CORR_ACC_00000050,correspondent_account,30102,-6030968.534366787,RUB,2017-07-29,,0.00011140357752199792,BANK_050,bank,2024-12-31,loro,Bank_050,False,mock_generator,1.0
CORR_ACC_00000051,correspondent_account,30109,13191.959186926248,EUR,2020-03-06,,0.0004578152051952871,BANK_051,bank,2024-12-31,nostro,Bank_051,False,mock_generator,1.0
CORR_ACC_00000052,correspondent_account,30102,10751619.329945903,RUB,2020-07-28,,0.0008416634659411751,BANK_052,bank,2024-12-31,nostro,Bank_052,False,mock_generator,1.0
CORR_ACC_00000053,correspondent_account,30109,-125464.52237021876,RUB,2017-02-07,,0.0008457616348033065,BANK_053,bank,2024-12-31,loro,Bank_053,False,mock_generator,1.0
CORR_ACC_00000054,correspondent_account,30110,3583.2501308480255,USD,2015-04-08,,0.0002999050594930495,BANK_054,bank,2024-12-31,nostro,Bank_054,False,mock_generator,1.0
CORR_ACC_00000055,correspondent_account,30102,25393980.44046883,RUB,2017-02-26,,0.00041427112698763397,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000056,correspondent_account,30109,-662607.3644407532,USD,2022-03-21,,0.00016223947056845237,BANK_056,bank,2024-12-31,loro,Bank_056,False,mock_generator,1.0
CORR_ACC_00000057,correspondent_account,30109,8789344.004833307,RUB,2023-01-20,,6.24572890236097e-05,BANK_057,bank,2024-12-31,nostro,Bank_057,False,mock_generator,1.0
CORR_ACC_00000058,correspondent_account,30110,-39251.60752072606,USD,2019-04-30,,0.00038871704550272383,BANK_058,bank,2024-12-31,loro,Bank_058,False,mock_generator,1.0
CORR_ACC_00000059,correspondent_account,30110,339815.8165826825,CNY,2020-05-19,,0.0004566805864510606,BANK_059,bank,2024-12-31,nostro,Bank_059,False,mock_generator,1.0
CORR_ACC_00000060,correspondent_account,30110,-285907.58305777836,USD,2021-01-13,,8.062929642022555e-05,BANK_060,bank,2024-12-31,loro,Bank_060,False,mock_generator,1.0
CORR_ACC_00000061,correspondent_account,30102,5300626.015157329,RUB,2015-11-25,,0.00027936756312077574,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000062,correspondent_account,30109,34314313.733147696,RUB,2015-09-10,,0.00048030430629024504,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000063,correspondent_account,30110,180553.31878905802,CNY,2022-07-07,,0.0008206392520823739,BANK_063,bank,2024-12-31,nostro,Bank_063,False,mock_generator,1.0
CORR_ACC_00000064,correspondent_account,30109,23182.28312053825,EUR,2015-12-10,,0.0003307518027356272,BANK_064,bank,2024-12-31,nostro,Bank_064,False,mock_generator,1.0
CORR_ACC_00000065,correspondent_account,30110,77311295.61655523,RUB,2016-01-28,,0.0004005629561267764,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000066,correspondent_account,30109,-157627.89274439734,EUR,2024-04-26,,0.0003640121685438232,BANK_066,bank,2024-12-31,loro,Bank_066,False,mock_generator,1.0
CORR_ACC_00000067,correspondent_account,30110,2145411.9695717143,RUB,2016-05-12,,0.00023473040831722936,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000068,correspondent_account,30114,26962978.880647425,RUB,2015-09-08,,0.0007097354532539828,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000069,correspondent_account,30110,-27086011.169714116,RUB,2015-10-26,,0.0009836759900141516,BANK_069,bank,2024-12-31,loro,Bank_069,False,mock_generator,1.0
CORR_ACC_00000070,correspondent_account,30114,795552.6194962942,RUB,2017-03-30,,0.0009003676631337419,BANK_070,bank,2024-12-31,nostro,Bank_070,False,mock_generator,1.0
CORR_ACC_00000071,correspondent_account,30102,53567.983464077326,USD,2015-10-20,,0.0006194443923925417,BANK_071,bank,2024-12-31,nostro,Bank_071,False,mock_generator,1.0
CORR_ACC_00000072,correspondent_account,30109,29086068.881824233,RUB,2021-03-14,,9.648372210937663e-05,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000073,correspondent_account,30102,77738512.09114271,RUB,2021-05-10,,0.000554661127169544,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000074,correspondent_account,30110,73489809.81573549,RUB,2018-06-15,,9.629392701584295e-05,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000075,correspondent_account,30102,26426468.88152493,RUB,2017-11-30,,0.00026718163261587127,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000076,correspondent_account,30102,1029259.8075946724,EUR,2018-04-14,,0.00024613265555372256,BANK_076,bank,2024-12-31,nostro,Bank_076,False,mock_generator,1.0
CORR_ACC_00000077,correspondent_account,30110,1683161.352683865,RUB,2017-08-09,,0.0005677349114720271,BANK_077,bank,2024-12-31,nostro,Bank_077,False,mock_generator,1.0
CORR_ACC_00000078,correspondent_account,30109,32008.76055179936,USD,2023-07-03,,0.00012020897351332128,BANK_078,bank,2024-12-31,nostro,Bank_078,False,mock_generator,1.0
CORR_ACC_00000079,correspondent_account,30114,70183014.15430114,RUB,2022-09-15,,0.0005007507070253817,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000080,correspondent_account,30114,-7150497.375930921,RUB,2018-11-15,,0.0006099169414992691,BANK_080,bank,2024-12-31,loro,Bank_080,False,mock_generator,1.0
CORR_ACC_00000081,correspondent_account,30109,45498693.427069075,RUB,2020-05-20,,0.0008157684134607829,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000082,correspondent_account,30110,1103314.4494960583,RUB,2021-01-15,,0.0003912511315243655,BANK_082,bank,2024-12-31,nostro,Bank_082,False,mock_generator,1.0
CORR_ACC_00000083,correspondent_account,30110,96535103.82527664,RUB,2019-07-12,,0.0002600234761286752,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000084,correspondent_account,30102,-10287448.79450197,RUB,2018-05-31,,7.433571676224771e-05,BANK_084,bank,2024-12-31,loro,Bank_084,False,mock_generator,1.0
CORR_ACC_00000085,correspondent_account,30109,12714259.479195297,RUB,2015-03-16,,0.0008367624417741061,BANK_085,bank,2024-12-31,nostro,Bank_085,False,mock_generator,1.0
CORR_ACC_00000086,correspondent_account,30114,-2352381.1955950963,USD,2016-06-20,,0.00018085210543981192,BANK_086,bank,2024-12-31,loro,Bank_086,False,mock_generator,1.0
CORR_ACC_00000087,correspondent_account,30110,404789.6949001841,RUB,2021-10-30,,0.000649913871408273,BANK_087,bank,2024-12-31,nostro,Bank_087,False,mock_generator,1.0
CORR_ACC_00000088,correspondent_account,30109,233975028.55503386,RUB,2015-11-26,,0.0007855650362717298,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000089,correspondent_account,30110,-43485.65838881623,USD,2019-08-24,,0.000568241504395384,BANK_089,bank,2024-12-31,loro,Bank_089,False,mock_generator,1.0
CORR_ACC_00000090,correspondent_account,30110,409181.3671071081,USD,2022-12-04,,8.155637816096873e-05,BANK_090,bank,2024-12-31,nostro,Bank_090,False,mock_generator,1.0
CORR_ACC_00000091,correspondent_account,30114,45993278.19665717,RUB,2018-03-11,,0.000837876953992957,BANK_091,bank,2024-12-31,nostro,Bank_091,False,mock_generator,1.0
CORR_ACC_00000092,correspondent_account,30102,30386734.689549282,RUB,2017-05-09,,7.086363843644905e-05,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000093,correspondent_account,30102,186752.8796279418,USD,2017-09-30,,6.860871869414787e-05,BANK_093,bank,2024-12-31,nostro,Bank_093,False,mock_generator,1.0
CORR_ACC_00000094,correspondent_account,30110,-195680.19459764546,USD,2018-01-31,,0.0006955867919391773,BANK_094,bank,2024-12-31,loro,Bank_094,False,mock_generator,1.0
CORR_ACC_00000095,correspondent_account,30110,149653536.78132054,RUB,2021-02-15,,0.000574631916599625,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000096,correspondent_account,30109,-783021.4078262397,RUB,2018-05-03,,0.0009526555449218704,BANK_096,bank,2024-12-31,loro,Bank_096,False,mock_generator,1.0
CORR_ACC_00000097,correspondent_account,30114,-407706.0239774138,RUB,2018-03-14,,0.000465550319335904,BANK_097,bank,2024-12-31,loro,Bank_097,False,mock_generator,1.0
CORR_ACC_00000098,correspondent_account,30114,56654641.16029795,RUB,2020-05-15,,0.0008666373936241666,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000099,correspondent_account,30109,7662312.589694228,RUB,2015-09-17,,8.50615707537923e-05,BANK_099,bank,2024-12-31,nostro,Bank_099,False,mock_generator,1.0
CORR_ACC_00000100,correspondent_account,30102,-419325.9601256587,USD,2018-08-03,,0.0005411474879834721,BANK_100,bank,2024-12-31,loro,Bank_100,False,mock_generator,1.0
CORR_ACC_00000101,correspondent_account,30102,169533067.3912206,RUB,2019-05-13,,0.0006873153488833636,BANK_101,bank,2024-12-31,nostro,Bank_101,False,mock_generator,1.0
CORR_ACC_00000102,correspondent_account,30102,705385216.1811507,RUB,2015-02-27,,0.0009436804388866103,BANK_102,bank,2024-12-31,nostro,Bank_102,False,mock_generator,1.0
CORR_ACC_00000103,correspondent_account,30114,-52142.20640023362,USD,2023-11-12,,0.000870855451972938,BANK_103,bank,2024-12-31,loro,Bank_103,False,mock_generator,1.0
CORR_ACC_00000104,correspondent_account,30114,18524559.388795383,RUB,2021-04-21,,0.0006544155355818769,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000105,correspondent_account,30109,-4942826.362273284,RUB,2022-05-06,,0.00012200069174177964,BANK_105,bank,2024-12-31,loro,Bank_105,False,mock_generator,1.0
CORR_ACC_00000106,correspondent_account,30110,-63749354.41767452,RUB,2020-05-10,,0.0005644245814179955,BANK_106,bank,2024-12-31,loro,Bank_106,False,mock_generator,1.0
CORR_ACC_00000107,correspondent_account,30102,2087054.034504532,RUB,2016-06-24,,0.0004936836836435129,BANK_107,bank,2024-12-31,nostro,Bank_107,False,mock_generator,1.0
CORR_ACC_00000108,correspondent_account,30110,-4953813.4386051195,RUB,2016-07-23,,0.00015483235992561517,BANK_108,bank,2024-12-31,loro,Bank_108,False,mock_generator,1.0
CORR_ACC_00000109,correspondent_account,30109,10283888.681865286,RUB,2017-10-29,,0.00017221374285215641,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000110,correspondent_account,30102,-30341.310462680707,USD,2020-05-06,,8.506435251888478e-05,BANK_110,bank,2024-12-31,loro,Bank_110,False,mock_generator,1.0
CORR_ACC_00000111,correspondent_account,30114,-5432225.165083149,RUB,2021-11-26,,0.00015709636554383944,BANK_111,bank,2024-12-31,loro,Bank_111,False,mock_generator,1.0
CORR_ACC_00000112,correspondent_account,30114,-9715447.957343861,RUB,2023-12-11,,0.0007763537524453811,BANK_112,bank,2024-12-31,loro,Bank_112,False,mock_generator,1.0
CORR_ACC_00000113,correspondent_account,30109,-200393.7362882747,USD,2019-01-16,,0.0004481312002181542,BANK_113,bank,2024-12-31,loro,Bank_113,False,mock_generator,1.0
CORR_ACC_00000114,correspondent_account,30110,3170837.3541190554,RUB,2021-01-17,,0.00016994304840167696,BANK_114,bank,2024-12-31,nostro,Bank_114,False,mock_generator,1.0
CORR_ACC_00000115,correspondent_account,30102,-180076.54696944304,USD,2020-03-31,,0.00074886497766573,BANK_115,bank,2024-12-31,loro,Bank_115,False,mock_generator,1.0
CORR_ACC_00000116,correspondent_account,30109,56463469.330209255,RUB,2020-10-29,,0.0009692442860809447,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000117,correspondent_account,30102,88632473.84289894,RUB,2021-04-24,,0.0008006944303796829,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000118,correspondent_account,30114,35392.113608955595,USD,2019-08-01,,0.0001647195067055124,BANK_118,bank,2024-12-31,nostro,Bank_118,False,mock_generator,1.0
CORR_ACC_00000119,correspondent_account,30109,15406503.835301114,RUB,2024-01-12,,0.0006067032659844304,BANK_119,bank,2024-12-31,nostro,Bank_119,False,mock_generator,1.0
CORR_ACC_00000120,correspondent_account,30102,343691.25266898517,EUR,2018-05-28,,0.00010543137248117153,BANK_120,bank,2024-12-31,nostro,Bank_120,False,mock_generator,1.0
CORR_ACC_00000121,correspondent_account,30110,15090165.064175935,RUB,2019-06-27,,0.0002822116382488913,BANK_121,bank,2024-12-31,nostro,Bank_121,False,mock_generator,1.0
CORR_ACC_00000122,correspondent_account,30110,-1452337.1672487482,RUB,2020-01-31,,0.00011331098228506742,BANK_122,bank,2024-12-31,loro,Bank_122,False,mock_generator,1.0
CORR_ACC_00000123,correspondent_account,30110,-16032.73863530772,EUR,2021-01-31,,0.00013940417197816148,BANK_123,bank,2024-12-31,loro,Bank_123,False,mock_generator,1.0
CORR_ACC_00000124,correspondent_account,30109,-4213597.966846439,RUB,2016-01-28,,0.00033739705351747585,BANK_124,bank,2024-12-31,loro,Bank_124,False,mock_generator,1.0
CORR_ACC_00000125,correspondent_account,30110,1872333.9298150565,RUB,2020-12-17,,0.0005058816421719367,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000126,correspondent_account,30110,1208643.8765816526,EUR,2017-06-21,,0.0007920115685739653,BANK_126,bank,2024-12-31,nostro,Bank_126,False,mock_generator,1.0
CORR_ACC_00000127,correspondent_account,30114,-264239626.0766498,RUB,2022-07-12,,4.042992646604337e-05,BANK_127,bank,2024-12-31,loro,Bank_127,False,mock_generator,1.0
CORR_ACC_00000128,correspondent_account,30110,-8027698.607859289,RUB,2016-01-24,,0.00032970596282224507,BANK_128,bank,2024-12-31,loro,Bank_128,False,mock_generator,1.0
CORR_ACC_00000129,correspondent_account,30102,51190.569690319,USD,2019-08-13,,0.0002668184276167163,BANK_129,bank,2024-12-31,nostro,Bank_129,False,mock_generator,1.0
CORR_ACC_00000130,correspondent_account,30109,105777.29228231574,USD,2016-09-23,,0.00018223572237480092,BANK_130,bank,2024-12-31,nostro,Bank_130,False,mock_generator,1.0
CORR_ACC_00000131,correspondent_account,30102,-21938.62504221847,EUR,2016-11-29,,0.0003753175289280931,BANK_131,bank,2024-12-31,loro,Bank_131,False,mock_generator,1.0
CORR_ACC_00000132,correspondent_account,30102,10954.243628628377,EUR,2019-03-02,,0.0005219327041754787,BANK_132,bank,2024-12-31,nostro,Bank_132,False,mock_generator,1.0
CORR_ACC_00000133,correspondent_account,30114,7753510.881015169,RUB,2020-02-13,,0.0005918061003346917,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000134,correspondent_account,30102,3378781.418528469,RUB,2019-03-13,,0.0008751665090971011,BANK_134,bank,2024-12-31,nostro,Bank_134,False,mock_generator,1.0
CORR_ACC_00000135,correspondent_account,30109,-886.1386231518994,USD,2021-09-12,,0.00040279798599727383,BANK_135,bank,2024-12-31,loro,Bank_135,False,mock_generator,1.0
CORR_ACC_00000136,correspondent_account,30110,9079.604384667931,USD,2018-03-13,,0.0009178744989346576,BANK_136,bank,2024-12-31,nostro,Bank_136,False,mock_generator,1.0
CORR_ACC_00000137,correspondent_account,30110,-31263.03121531864,USD,2019-05-04,,0.0006247380871904336,BANK_137,bank,2024-12-31,loro,Bank_137,False,mock_generator,1.0
CORR_ACC_00000138,correspondent_account,30114,29110768.508371327,RUB,2017-10-07,,0.0006997651806006515,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000139,correspondent_account,30110,35287061.9930293,RUB,2016-06-17,,0.0002990796805795193,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000140,correspondent_account,30110,-1018543.8018672876,EUR,2017-07-09,,0.0005552971572338155,BANK_140,bank,2024-12-31,loro,Bank_140,False,mock_generator,1.0
CORR_ACC_00000141,correspondent_account,30109,-10418008.193747489,RUB,2021-11-05,,0.0005984299248721651,BANK_141,bank,2024-12-31,loro,Bank_141,False,mock_generator,1.0
CORR_ACC_00000142,correspondent_account,30114,36560952.80573566,RUB,2023-02-19,,0.00014404856803698342,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000143,correspondent_account,30102,19635896.3782512,RUB,2015-07-14,,0.0009623942987838619,CBR_001,central_bank,2024-12-31,cbr_required_reserve,Central Bank of Russia,True,mock_generator,1.0
CORR_ACC_00000144,correspondent_account,30109,33341069.72512172,RUB,2015-04-08,,0.0007914250626517925,BANK_144,bank,2024-12-31,nostro,Bank_144,False,mock_generator,1.0
CORR_ACC_00000145,correspondent_account,30102,17219800.093048736,RUB,2017-09-12,,0.0003547587940812208,CBR_001,central_bank,2024-12-31,cbr_operational,Central Bank of Russia,False,mock_generator,1.0
CORR_ACC_00000146,correspondent_account,30102,1626244.790046658,USD,2019-07-31,,0.0004262026302245595,BANK_146,bank,2024-12-31,nostro,Bank_146,False,mock_generator,1.0
CORR_ACC_00000147,correspondent_account,30110,2494788.9094421146,USD,2019-07-03,,0.0007465028890876722,BANK_147,bank,2024-12-31,nostro,Bank_147,False,mock_generator,1.0
