instrument_id,instrument_type,balance_account,amount,currency,start_date,maturity_date,interest_rate,counterparty_id,counterparty_type,as_of_date,is_placement,counterparty_bank,credit_rating,data_source,version
MBK_00000016,interbank_loan,32102,-42618663.1189241,RUB,2024-12-29,2025-01-12,0.16049734195996757,BANK_016,bank,2024-12-31,False,Bank_016,BB,mock_generator,1.0
MBK_00000017,interbank_loan,32001,41432495.842412405,RUB,2024-12-24,2025-01-23,0.15932986125272453,BANK_017,bank,2024-12-31,True,Bank_017,BB,mock_generator,1.0
MBK_00000018,interbank_loan,32102,7596770.752444811,RUB,2024-12-08,2025-01-07,0.16480350377302766,BANK_018,bank,2024-12-31,True,Bank_018,BB,mock_generator,1.0
MBK_00000019,interbank_loan,32002,-43452822.94061943,RUB,2024-12-29,2025-01-28,0.16144726825066816,BANK_019,bank,2024-12-31,False,Bank_019,A,mock_generator,1.0
MBK_00000020,interbank_loan,32002,30517331.746203188,RUB,2024-12-31,2025-01-01,0.16381688426699803,BANK_020,bank,2024-12-31,True,Bank_020,A,mock_generator,1.0
MBK_00000021,interbank_loan,32101,-17760161.792634066,RUB,2024-12-28,2025-01-04,0.1602597657940606,BANK_021,bank,2024-12-31,False,Bank_021,BBB,mock_generator,1.0
MBK_00000022,interbank_loan,32101,-5000000.0,RUB,2024-12-17,2025-03-17,0.17271483831908263,BANK_022,bank,2024-12-31,False,Bank_022,A,mock_generator,1.0
MBK_00000023,interbank_loan,32102,-364589.4648321818,USD,2024-12-25,2025-01-01,0.051340853005879164,BANK_023,bank,2024-12-31,False,Bank_023,A,mock_generator,1.0
MBK_00000024,interbank_loan,32001,-591928.9448238935,EUR,2024-12-13,2025-06-11,0.040058796719161655,BANK_024,bank,2024-12-31,False,Bank_024,AAA,mock_generator,1.0
MBK_00000025,interbank_loan,32102,55335638.202215806,RUB,2024-12-26,2025-01-09,0.16425687035344588,BANK_025,bank,2024-12-31,True,Bank_025,A,mock_generator,1.0
MBK_00000026,interbank_loan,32002,-6506846.798506037,USD,2024-12-13,2025-03-13,0.056044717673741,BANK_026,bank,2024-12-31,False,Bank_026,BBB,mock_generator,1.0
MBK_00000027,interbank_loan,32101,25833816.247873325,RUB,2024-12-18,2025-03-18,0.1623145005761524,BANK_027,bank,2024-12-31,True,Bank_027,A,mock_generator,1.0
MBK_00000028,interbank_loan,32101,-10739924.75557938,RUB,2024-12-31,2025-01-01,0.1682138477059874,BANK_028,bank,2024-12-31,False,Bank_028,BBB,mock_generator,1.0
MBK_00000029,interbank_loan,32101,-441560090.0400954,RUB,2024-12-29,2025-01-05,0.16351666830372913,BANK_029,bank,2024-12-31,False,Bank_029,BBB,mock_generator,1.0
MBK_00000030,interbank_loan,32101,5000000.0,RUB,2024-12-27,2025-03-27,0.15922623248787215,BANK_030,bank,2024-12-31,True,Bank_030,BB,mock_generator,1.0
MBK_00000031,interbank_loan,32002,-18127696.627093475,RUB,2024-12-31,2025-01-01,0.1676800052837404,BANK_031,bank,2024-12-31,False,Bank_031,AA,mock_generator,1.0
MBK_00000032,interbank_loan,32001,-38844393.37976555,RUB,2024-12-08,2025-01-07,0.17071447292414021,BANK_032,bank,2024-12-31,False,Bank_032,A,mock_generator,1.0
MBK_00000033,interbank_loan,32001,52969931.86468456,RUB,2024-12-27,2025-01-03,0.1614188080301302,BANK_033,bank,2024-12-31,True,Bank_033,AA,mock_generator,1.0
MBK_00000034,interbank_loan,32101,14175679.285629613,RUB,2024-12-27,2025-01-03,0.16604674453557994,BANK_034,bank,2024-12-31,True,Bank_034,BBB,mock_generator,1.0
MBK_00000035,interbank_loan,32002,81308091.93117343,RUB,2024-12-06,2025-03-06,0.17186783574892772,BANK_035,bank,2024-12-31,True,Bank_035,AA,mock_generator,1.0
MBK_00000036,interbank_loan,32002,661998.3718691025,USD,2024-12-25,2025-01-01,0.06548586401277963,BANK_036,bank,2024-12-31,True,Bank_036,BBB,mock_generator,1.0
MBK_00000037,interbank_loan,32001,-500933.4531049048,USD,2024-12-24,2025-12-24,0.06146378601924333,BANK_037,bank,2024-12-31,False,Bank_037,A,mock_generator,1.0
MBK_00000038,interbank_loan,32101,-58823.529411764706,USD,2024-12-02,2025-01-01,0.0658926556428101,BANK_038,bank,2024-12-31,False,Bank_038,BBB,mock_generator,1.0
MBK_00000039,interbank_loan,32102,-16278584.640523061,RUB,2024-12-24,2025-06-22,0.16637790727397164,BANK_039,bank,2024-12-31,False,Bank_039,A,mock_generator,1.0
MBK_00000040,interbank_loan,32101,9857423.157294154,RUB,2024-12-31,2025-01-01,0.16145242617984595,BANK_040,bank,2024-12-31,True,Bank_040,A,mock_generator,1.0
MBK_00000041,interbank_loan,32001,33464203.250986457,RUB,2024-12-07,2025-06-05,0.1736788075489818,BANK_041,bank,2024-12-31,True,Bank_041,AA,mock_generator,1.0
MBK_00000042,interbank_loan,32102,-12554985.376468292,RUB,2024-12-09,2025-03-09,0.16100133637753536,BANK_042,bank,2024-12-31,False,Bank_042,AA,mock_generator,1.0
MBK_00000043,interbank_loan,32001,19142856.62223454,RUB,2024-12-23,2025-03-23,0.17386433154422512,BANK_043,bank,2024-12-31,True,Bank_043,AA,mock_generator,1.0
MBK_00000044,interbank_loan,32002,165285.23173948104,USD,2024-12-27,2025-12-27,0.056366830718910015,BANK_044,bank,2024-12-31,True,Bank_044,AA,mock_generator,1.0
MBK_00000045,interbank_loan,32101,303821436.0072582,RUB,2024-12-30,2025-03-30,0.16881354450423836,BANK_045,bank,2024-12-31,True,Bank_045,BB,mock_generator,1.0
MBK_00000046,interbank_loan,32102,-5000000.0,RUB,2024-12-26,2025-01-02,0.1699447307550389,BANK_046,bank,2024-12-31,False,Bank_046,A,mock_generator,1.0
MBK_00000047,interbank_loan,32101,-10224463.785917036,RUB,2024-12-27,2025-01-03,0.1679997423971778,BANK_047,bank,2024-12-31,False,Bank_047,A,mock_generator,1.0
MBK_00000048,interbank_loan,32002,5000000.0,RUB,2024-12-23,2025-01-06,0.1693605089742617,BANK_048,bank,2024-12-31,True,Bank_048,BBB,mock_generator,1.0
MBK_00000049,interbank_loan,32001,5000000.0,RUB,2024-12-25,2025-01-01,0.1748666499237886,BANK_049,bank,2024-12-31,True,Bank_049,BBB,mock_generator,1.0
MBK_00000050,interbank_loan,32001,40196322.179315336,RUB,2024-12-31,2025-06-29,0.1552498004410755,BANK_050,bank,2024-12-31,True,Bank_050,BBB,mock_generator,1.0
MBK_00000051,interbank_loan,32101,5000000.0,RUB,2024-12-12,2025-01-11,0.1572462750560627,BANK_051,bank,2024-12-31,True,Bank_051,A,mock_generator,1.0
MBK_00000052,interbank_loan,32001,-814304.1470331594,USD,2024-12-07,2025-03-07,0.052556495779963026,BANK_052,bank,2024-12-31,False,Bank_052,BBB,mock_generator,1.0
MBK_00000053,interbank_loan,32001,-70949535.44461279,RUB,2024-12-24,2025-01-07,0.16544981891051222,BANK_053,bank,2024-12-31,False,Bank_053,BBB,mock_generator,1.0
MBK_00000054,interbank_loan,32002,24068493.9273233,RUB,2024-12-03,2025-01-02,0.15655454266149277,BANK_054,bank,2024-12-31,True,Bank_054,A,mock_generator,1.0
MBK_00000055,interbank_loan,32101,-64300178.752332136,RUB,2024-12-29,2025-01-05,0.1665738784897516,BANK_055,bank,2024-12-31,False,Bank_055,A,mock_generator,1.0
MBK_00000056,interbank_loan,32102,-88847.87367676193,EUR,2024-12-19,2025-06-17,0.03739662246968146,BANK_056,bank,2024-12-31,False,Bank_056,AAA,mock_generator,1.0
MBK_00000057,interbank_loan,32102,262680.8164133363,USD,2024-12-18,2025-03-18,0.05018998830394247,BANK_057,bank,2024-12-31,True,Bank_057,BB,mock_generator,1.0
MBK_00000058,interbank_loan,32102,-59731837.26864845,RUB,2024-12-25,2025-01-01,0.16893336529319908,BANK_058,bank,2024-12-31,False,Bank_058,BBB,mock_generator,1.0
MBK_00000059,interbank_loan,32101,149285.99557597138,EUR,2024-12-31,2025-01-01,0.04377537935536609,BANK_059,bank,2024-12-31,True,Bank_059,BBB,mock_generator,1.0
MBK_00000060,interbank_loan,32101,13499876.83393772,RUB,2024-12-18,2025-01-01,0.1714297449110902,BANK_060,bank,2024-12-31,True,Bank_060,BBB,mock_generator,1.0
MBK_00000061,interbank_loan,32001,123884.4629716402,USD,2024-12-20,2025-03-20,0.055220380267477415,BANK_061,bank,2024-12-31,True,Bank_061,BB,mock_generator,1.0
MBK_00000062,interbank_loan,32101,5000000.0,RUB,2024-12-04,2025-01-03,0.1728974659842789,BANK_062,bank,2024-12-31,True,Bank_062,BBB,mock_generator,1.0
MBK_00000063,interbank_loan,32101,-187611808.90004596,RUB,2024-12-05,2025-01-04,0.1556578801018914,BANK_063,bank,2024-12-31,False,Bank_063,A,mock_generator,1.0
MBK_00000064,interbank_loan,32001,-1029951.6014050554,USD,2024-12-02,2025-03-02,0.05013785436147715,BANK_064,bank,2024-12-31,False,Bank_064,A,mock_generator,1.0
MBK_00000065,interbank_loan,32102,314278.66815729975,USD,2024-12-19,2025-01-18,0.051162044771389574,BANK_065,bank,2024-12-31,True,Bank_065,BB,mock_generator,1.0
MBK_00000066,interbank_loan,32101,5000000.0,RUB,2024-12-04,2025-06-02,0.15619770699695468,BANK_066,bank,2024-12-31,True,Bank_066,BBB,mock_generator,1.0
MBK_00000067,interbank_loan,32101,121677815.65443406,RUB,2024-12-14,2025-06-12,0.17338349922806232,BANK_067,bank,2024-12-31,True,Bank_067,A,mock_generator,1.0
MBK_00000068,interbank_loan,32102,-151153223.45918995,RUB,2024-12-31,2025-01-14,0.16257244776188057,BANK_068,bank,2024-12-31,False,Bank_068,BBB,mock_generator,1.0
MBK_00000069,interbank_loan,32101,17713946.091438808,RUB,2024-12-31,2025-01-07,0.16170160448151322,BANK_069,bank,2024-12-31,True,Bank_069,A,mock_generator,1.0
MBK_00000070,interbank_loan,32102,-26044955.60988213,RUB,2024-12-18,2025-01-17,0.17374022071135864,BANK_070,bank,2024-12-31,False,Bank_070,BBB,mock_generator,1.0
MBK_00000071,interbank_loan,32001,5000000.0,RUB,2024-12-27,2025-01-03,0.15808694366163584,BANK_071,bank,2024-12-31,True,Bank_071,BBB,mock_generator,1.0
MBK_00000072,interbank_loan,32102,5000000.0,RUB,2024-12-27,2025-01-03,0.16934616231279623,BANK_072,bank,2024-12-31,True,Bank_072,AAA,mock_generator,1.0
MBK_00000073,interbank_loan,32002,20495540.028054386,RUB,2024-12-26,2025-01-02,0.16065911858470816,BANK_073,bank,2024-12-31,True,Bank_073,BBB,mock_generator,1.0
MBK_00000074,interbank_loan,32001,30887597.94888348,RUB,2024-12-07,2025-01-06,0.16466852000248408,BANK_074,bank,2024-12-31,True,Bank_074,BBB,mock_generator,1.0
MBK_00000075,interbank_loan,32001,-287873.67877482966,EUR,2024-12-31,2025-01-07,0.04838992254682198,BANK_075,bank,2024-12-31,False,Bank_075,A,mock_generator,1.0
MBK_00000076,interbank_loan,32002,4049499.7305470244,USD,2024-12-28,2025-01-04,0.06582761902530328,BANK_076,bank,2024-12-31,True,Bank_076,BBB,mock_generator,1.0
MBK_00000077,interbank_loan,32002,261424.03506424036,EUR,2024-12-31,2025-01-01,0.04566990834041567,BANK_077,bank,2024-12-31,True,Bank_077,A,mock_generator,1.0
MBK_00000078,interbank_loan,32002,30222118.99584867,RUB,2024-12-28,2025-01-11,0.1713390400903631,BANK_078,bank,2024-12-31,True,Bank_078,A,mock_generator,1.0
MBK_00000079,interbank_loan,32101,-11685797.611116704,RUB,2024-12-19,2025-03-19,0.15771074426531861,BANK_079,bank,2024-12-31,False,Bank_079,BBB,mock_generator,1.0
MBK_00000080,interbank_loan,32001,-258807.4287629058,USD,2024-12-24,2025-01-23,0.056124442198153865,BANK_080,bank,2024-12-31,False,Bank_080,A,mock_generator,1.0
MBK_00000081,interbank_loan,32002,99643582.71106458,RUB,2024-12-31,2025-01-07,0.15854122203853283,BANK_081,bank,2024-12-31,True,Bank_081,A,mock_generator,1.0
MBK_00000082,interbank_loan,32102,-5000000.0,RUB,2024-12-04,2025-03-04,0.17288593877293715,BANK_082,bank,2024-12-31,False,Bank_082,BBB,mock_generator,1.0
MBK_00000083,interbank_loan,32102,218648.35557981883,USD,2024-12-29,2025-01-28,0.050412759186381086,BANK_083,bank,2024-12-31,True,Bank_083,AA,mock_generator,1.0
MBK_00000084,interbank_loan,32002,-10459663.98431541,RUB,2024-12-27,2025-01-10,0.17134709480109603,BANK_084,bank,2024-12-31,False,Bank_084,AA,mock_generator,1.0
MBK_00000085,interbank_loan,32001,44848927.93343181,RUB,2024-12-25,2025-01-01,0.1681801799963752,BANK_085,bank,2024-12-31,True,Bank_085,BBB,mock_generator,1.0
MBK_00000086,interbank_loan,32101,17937765.679427143,RUB,2024-12-02,2025-03-02,0.1577346915009112,BANK_086,bank,2024-12-31,True,Bank_086,BBB,mock_generator,1.0
MBK_00000087,interbank_loan,32002,-25720050.299311902,RUB,2024-12-28,2025-01-11,0.1597742222049543,BANK_087,bank,2024-12-31,False,Bank_087,AA,mock_generator,1.0
MBK_00000088,interbank_loan,32001,38230391.0948727,RUB,2024-12-11,2025-03-11,0.17143105562103725,BANK_088,bank,2024-12-31,True,Bank_088,AAA,mock_generator,1.0
MBK_00000089,interbank_loan,32002,-58823.529411764706,USD,2024-12-31,2025-01-01,0.0500715210098368,BANK_089,bank,2024-12-31,False,Bank_089,A,mock_generator,1.0
MBK_00000090,interbank_loan,32001,5000000.0,RUB,2024-12-31,2025-01-14,0.1613840790637205,BANK_090,bank,2024-12-31,True,Bank_090,A,mock_generator,1.0
MBK_00000091,interbank_loan,32101,872656.7212051472,USD,2024-12-25,2025-01-01,0.059894063467624575,BANK_091,bank,2024-12-31,True,Bank_091,A,mock_generator,1.0
MBK_00000092,interbank_loan,32101,6238988.944188916,RUB,2024-12-20,2025-01-19,0.16742512044990904,BANK_092,bank,2024-12-31,True,Bank_092,BBB,mock_generator,1.0
MBK_00000093,interbank_loan,32001,5000000.0,RUB,2024-12-21,2025-01-20,0.16897290988332048,BANK_093,bank,2024-12-31,True,Bank_093,BBB,mock_generator,1.0
MBK_00000094,interbank_loan,32001,-800408.4423753502,USD,2024-12-12,2025-01-11,0.05369865092606913,BANK_094,bank,2024-12-31,False,Bank_094,BB,mock_generator,1.0
MBK_00000095,interbank_loan,32101,383825261.88485265,RUB,2024-12-31,2025-01-01,0.1663441470823441,BANK_095,bank,2024-12-31,True,Bank_095,A,mock_generator,1.0
MBK_00000096,interbank_loan,32102,-10678215.403174212,RUB,2024-12-02,2025-01-01,0.16198376496840672,BANK_096,bank,2024-12-31,False,Bank_096,AA,mock_generator,1.0
MBK_00000097,interbank_loan,32001,12715382.304350872,RUB,2024-12-31,2025-01-01,0.17352762736666627,BANK_097,bank,2024-12-31,True,Bank_097,BBB,mock_generator,1.0
MBK_00000098,interbank_loan,32101,12076317.043002184,RUB,2024-12-26,2025-01-02,0.16224802647558004,BANK_098,bank,2024-12-31,True,Bank_098,A,mock_generator,1.0
MBK_00000099,interbank_loan,32102,-5000000.0,RUB,2024-12-20,2025-01-03,0.16827878739888238,BANK_099,bank,2024-12-31,False,Bank_099,A,mock_generator,1.0
MBK_00000100,interbank_loan,32002,118412.74503859352,USD,2024-12-21,2025-03-21,0.06234902160327924,BANK_000,bank,2024-12-31,True,Bank_000,A,mock_generator,1.0
MBK_00000101,interbank_loan,32001,86366847.19622804,RUB,2024-12-25,2025-06-23,0.15743710187686194,BANK_001,bank,2024-12-31,True,Bank_001,AAA,mock_generator,1.0
MBK_00000102,interbank_loan,32102,12024945.11615514,RUB,2024-12-29,2025-03-29,0.17311906301727775,BANK_002,bank,2024-12-31,True,Bank_002,AAA,mock_generator,1.0
MBK_00000103,interbank_loan,32001,-130678290.5249263,RUB,2024-12-29,2025-01-28,0.17151906495301003,BANK_003,bank,2024-12-31,False,Bank_003,BBB,mock_generator,1.0
MBK_00000104,interbank_loan,32001,11397166.366536945,EUR,2024-12-28,2025-01-04,0.03589715452873013,BANK_004,bank,2024-12-31,True,Bank_004,AA,mock_generator,1.0
MBK_00000105,interbank_loan,32001,-7977711.518471063,RUB,2024-12-12,2025-01-11,0.1582014853540314,BANK_005,bank,2024-12-31,False,Bank_005,AA,mock_generator,1.0
MBK_00000106,interbank_loan,32102,-282505971.8122405,RUB,2024-12-31,2025-03-31,0.1581820024429298,BANK_006,bank,2024-12-31,False,Bank_006,A,mock_generator,1.0
MBK_00000107,interbank_loan,32001,-5000000.0,RUB,2024-12-28,2025-12-28,0.15690558420369047,BANK_007,bank,2024-12-31,False,Bank_007,A,mock_generator,1.0
MBK_00000108,interbank_loan,32001,-5000000.0,RUB,2024-12-31,2025-01-01,0.17412512728067292,BANK_008,bank,2024-12-31,False,Bank_008,A,mock_generator,1.0
MBK_00000109,interbank_loan,32102,6900599.708481348,RUB,2024-12-18,2025-01-01,0.16329837969829383,BANK_009,bank,2024-12-31,True,Bank_009,BBB,mock_generator,1.0
MBK_00000110,interbank_loan,32001,-5597159.334290446,RUB,2024-12-02,2025-01-01,0.16488547037831214,BANK_010,bank,2024-12-31,False,Bank_010,A,mock_generator,1.0
MBK_00000111,interbank_loan,32001,-107144.59334306649,USD,2024-12-30,2025-01-29,0.0551316100796367,BANK_011,bank,2024-12-31,False,Bank_011,A,mock_generator,1.0
MBK_00000112,interbank_loan,32101,8320497.94570561,USD,2024-12-18,2025-06-16,0.06042322843082601,BANK_012,bank,2024-12-31,True,Bank_012,A,mock_generator,1.0
MBK_00000113,interbank_loan,32002,-271788.1533781912,USD,2024-12-27,2025-01-03,0.050998428204616246,BANK_013,bank,2024-12-31,False,Bank_013,A,mock_generator,1.0
MBK_00000114,interbank_loan,32002,5000000.0,RUB,2024-12-23,2025-03-23,0.16622958565091558,BANK_014,bank,2024-12-31,True,Bank_014,A,mock_generator,1.0
MBK_00000115,interbank_loan,32102,83295550.62650838,RUB,2024-12-31,2025-01-01,0.15521177282687817,BANK_015,bank,2024-12-31,True,Bank_015,A,mock_generator,1.0
MBK_00000116,interbank_loan,32102,-254289.6772120159,EUR,2024-12-26,2025-01-02,0.039045625893345016,BANK_016,bank,2024-12-31,False,Bank_016,AAA,mock_generator,1.0
MBK_00000117,interbank_loan,32101,46867021.22305108,RUB,2024-12-29,2025-03-29,0.17406515060971173,BANK_017,bank,2024-12-31,True,Bank_017,BB,mock_generator,1.0
MBK_00000118,interbank_loan,32001,-39994007.77062836,RUB,2024-12-30,2025-01-13,0.16352275446295017,BANK_018,bank,2024-12-31,False,Bank_018,A,mock_generator,1.0
MBK_00000119,interbank_loan,32102,-208765266.6842206,RUB,2024-12-05,2025-03-05,0.17305783429342805,BANK_019,bank,2024-12-31,False,Bank_019,AA,mock_generator,1.0
MBK_00000120,interbank_loan,32002,-1530552.210277269,USD,2024-12-14,2025-06-12,0.052328876674635844,BANK_020,bank,2024-12-31,False,Bank_020,A,mock_generator,1.0
MBK_00000121,interbank_loan,32101,129963.49355752891,EUR,2024-12-22,2025-01-05,0.03514444222236128,BANK_021,bank,2024-12-31,True,Bank_021,A,mock_generator,1.0
MBK_00000122,interbank_loan,32001,-37030397.33175779,RUB,2024-12-31,2025-01-01,0.1631385785373488,BANK_022,bank,2024-12-31,False,Bank_022,A,mock_generator,1.0
MBK_00000123,interbank_loan,32002,-16720008.466279482,RUB,2024-12-28,2025-01-11,0.1612253451909301,BANK_023,bank,2024-12-31,False,Bank_023,BBB,mock_generator,1.0
MBK_00000124,interbank_loan,32002,-92999378.13647127,RUB,2024-12-17,2025-03-17,0.17481579752398563,BANK_024,bank,2024-12-31,False,Bank_024,A,mock_generator,1.0
MBK_00000125,interbank_loan,32102,186172.49320741653,EUR,2024-12-24,2025-03-24,0.035149616569701156,BANK_025,bank,2024-12-31,True,Bank_025,BBB,mock_generator,1.0
MBK_00000126,interbank_loan,32101,-7063073.441932515,RUB,2024-12-28,2025-03-28,0.15900591715057624,BANK_026,bank,2024-12-31,False,Bank_026,BBB,mock_generator,1.0
MBK_00000127,interbank_loan,32002,-763079.4960128305,USD,2024-12-10,2025-01-09,0.06379746401951074,BANK_027,bank,2024-12-31,False,Bank_027,BBB,mock_generator,1.0
MBK_00000128,interbank_loan,32102,-7460212.143532084,USD,2024-12-06,2025-01-05,0.052335260798331784,BANK_028,bank,2024-12-31,False,Bank_028,BBB,mock_generator,1.0
MBK_00000129,interbank_loan,32102,-88196380.53860144,RUB,2024-12-19,2025-03-19,0.172757595009277,BANK_029,bank,2024-12-31,False,Bank_029,BBB,mock_generator,1.0
MBK_00000130,interbank_loan,32002,-178795.31350563603,USD,2024-12-31,2025-01-01,0.056893248205501706,BANK_030,bank,2024-12-31,False,Bank_030,A,mock_generator,1.0
MBK_00000131,interbank_loan,32102,-58823.529411764706,EUR,2024-12-29,2025-01-05,0.04112478013852509,BANK_031,bank,2024-12-31,False,Bank_031,BB,mock_generator,1.0
MBK_00000132,interbank_loan,32101,-12865030.946403552,RUB,2024-12-19,2025-01-02,0.16104808600527776,BANK_032,bank,2024-12-31,False,Bank_032,A,mock_generator,1.0
MBK_00000133,interbank_loan,32102,-5000000.0,RUB,2024-12-31,2025-01-01,0.16745867709938808,BANK_033,bank,2024-12-31,False,Bank_033,AAA,mock_generator,1.0
MBK_00000134,interbank_loan,32101,-35499500.840267114,RUB,2024-12-31,2025-01-01,0.161571873995063,BANK_034,bank,2024-12-31,False,Bank_034,AA,mock_generator,1.0
MBK_00000135,interbank_loan,32102,199702.60730806628,EUR,2024-12-19,2025-01-18,0.050164636653957546,BANK_035,bank,2024-12-31,True,Bank_035,A,mock_generator,1.0
MBK_00000136,interbank_loan,32101,95387.2168513231,USD,2024-12-16,2025-12-16,0.051164119626989,BANK_036,bank,2024-12-31,True,Bank_036,A,mock_generator,1.0
MBK_00000137,interbank_loan,32101,8202343.502045786,RUB,2024-12-25,2025-01-08,0.15915286379188565,BANK_037,bank,2024-12-31,True,Bank_037,AA,mock_generator,1.0
MBK_00000138,interbank_loan,32001,230195.16748681696,EUR,2024-12-28,2025-01-04,0.037011886615376084,BANK_038,bank,2024-12-31,True,Bank_038,A,mock_generator,1.0
MBK_00000139,interbank_loan,32001,7532887.1799126705,RUB,2024-12-31,2025-01-01,0.1699184703524439,BANK_039,bank,2024-12-31,True,Bank_039,AAA,mock_generator,1.0
MBK_00000140,interbank_loan,32002,55189224.81413073,RUB,2024-12-20,2025-01-19,0.16918762174826227,BANK_040,bank,2024-12-31,True,Bank_040,A,mock_generator,1.0
MBK_00000141,interbank_loan,32102,62786.9396016402,USD,2024-12-26,2025-01-09,0.05534025872391333,BANK_041,bank,2024-12-31,True,Bank_041,BBB,mock_generator,1.0
MBK_00000142,interbank_loan,32102,-1529329352.2720537,RUB,2024-12-31,2025-01-07,0.16390522163753077,BANK_042,bank,2024-12-31,False,Bank_042,A,mock_generator,1.0
MBK_00000143,interbank_loan,32102,114705.22618777934,USD,2024-12-31,2025-01-07,0.06013201562862828,BANK_043,bank,2024-12-31,True,Bank_043,A,mock_generator,1.0
MBK_00000144,interbank_loan,32102,152555.88461151326,USD,2024-12-06,2025-03-06,0.0627684061720015,BANK_044,bank,2024-12-31,True,Bank_044,AAA,mock_generator,1.0
MBK_00000145,interbank_loan,32002,-1232635.3357553955,EUR,2024-12-02,2025-12-02,0.0402176613170461,BANK_045,bank,2024-12-31,False,Bank_045,BBB,mock_generator,1.0
MBK_00000146,interbank_loan,32102,-96473272.51067339,RUB,2024-12-26,2025-12-26,0.16719636990008355,BANK_046,bank,2024-12-31,False,Bank_046,BB,mock_generator,1.0
MBK_00000147,interbank_loan,32002,-8505386.252641704,RUB,2024-12-06,2025-01-05,0.15965935806507203,BANK_047,bank,2024-12-31,False,Bank_047,BBB,mock_generator,1.0
MBK_00000148,interbank_loan,32001,1791312.8501443544,EUR,2024-12-08,2025-03-08,0.05383606566831885,BANK_048,bank,2024-12-31,True,Bank_048,A,mock_generator,1.0
MBK_00000149,interbank_loan,32101,-1514111.9135608042,USD,2024-12-22,2025-03-22,0.05069031169015493,BANK_049,bank,2024-12-31,False,Bank_049,BBB,mock_generator,1.0
MBK_00000150,interbank_loan,32002,-432840580.9740676,RUB,2024-12-29,2025-01-28,0.16101672871153408,BANK_050,bank,2024-12-31,False,Bank_050,A,mock_generator,1.0
MBK_00000151,interbank_loan,32102,54853875.08515363,RUB,2024-12-19,2025-01-18,0.1660245139589799,BANK_051,bank,2024-12-31,True,Bank_051,A,mock_generator,1.0
MBK_00000152,interbank_loan,32101,-110548213.75494435,RUB,2024-12-25,2025-06-23,0.16345415065567784,BANK_052,bank,2024-12-31,False,Bank_052,AA,mock_generator,1.0
